,Regressor,Param,Score,MAE
65,SGDRegressor,squared_error-l1-0.01-10000000-optimal-0.75,-37.291678806614485,379.0724641038455
77,SGDRegressor,squared_error-elasticnet-0.001-10000000-optimal-0.75,-267.03851867337096,813.7853501460401
76,SGDRegressor,squared_error-elasticnet-0.001-10000000-optimal-0.25,-972064179119.7045,57200063.23978582
35,SGDRegressor,squared_error-l2-0.0001-10000000-optimal-0.75,-25383552858724.23,285964428.2951408
34,SGDRegressor,squared_error-l2-0.0001-10000000-optimal-0.25,-60671749558826.32,503749348.1282519
71,SGDRegressor,squared_error-elasticnet-0.0001-10000000-optimal-0.75,-538950867057526.7,1328113555.3307552
59,SGDRegressor,squared_error-l1-0.001-10000000-optimal-0.75,-629222654019375.0,1475023470.4187963
70,SGDRegressor,squared_error-elasticnet-0.0001-10000000-optimal-0.25,-666646797973750.1,1484777641.7214181
58,SGDRegressor,squared_error-l1-0.001-10000000-optimal-0.25,-1760653991601434.2,2526606305.8980355
52,SGDRegressor,squared_error-l1-0.0001-10000000-optimal-0.25,-1.1924174251492228e+16,6204508635.781358
53,SGDRegressor,squared_error-l1-0.0001-10000000-optimal-0.75,-4.469132849340254e+16,13427452937.543331
